,HOW TO DOWNLOAD THIS SPREADSHEET: CLICK FILE > DOWNLOAD AS,,,,,,,,,,,
Ranking,Institution,Uni group,Hesa  code,Average Teaching Score,NSS Teaching (%),NSS Overall (%),Expenditure per student / 10,Student:staff ratio,Career prospects (%),Value added score/10,Entry Tariff,NSS Feedback (%)
78 → 73 → 64,Brighton,,51,54.3,84,83,4.6,18.6,49,6.0,289,67
58 → 62 → 65,Goldsmiths,1994 Group,131,54.0,86,83,3.4,17.7,48,6.3,341,67
57 → 71 → 66,Cardiff Met,University Alliance,89,53.8,82,82,4.6,19.9,48,4.8,271,71
27 → 44 → 67,Stirling,,174,53.7,88,88,4.5,20.5,56,4.9,332,70
77 → 81 → 68,West London,Million +,80,53.4,78,76,7.0,21.0,49,4.0,229,67
59 → 75 → 69,Hull,,120,52.9,89,89,4.7,19.9,63,3.5,325,69
91 → 94 → 70,Derby,Million+,57,52.3,85,81,4.7,18.1,48,4.7,273,71
67 → 65 → 71,Bath Spa,Million + ,48,51.4,88,84,3.8,21.6,51,6.2,301,71
69 → 70 → 71,Central Lancashire,,53,51.4,82,82,5.8,18.5,52,4.0,295,70
55 → 52 → 73,Edinburgh Napier,Million+,107,51.1,83,83,3.7,23.6,62,7.5,290,66
63 → 56 → 73,Queen Margaret,,100,51.1,86,78,2.5,20.6,54,7.1,328,59
88 → 78 → 75,Edge Hill,,16,50.8,86,84,2.9,18.5,57,4.7,262,75
60 → 72 → 76,Hertfordshire,University Alliance,60,50.6,82,83,4.0,19.8,56,7.7,295,66
84 → 91 → 77,Anglia Ruskin,Million +,47,50.2,81,76,8.0,19.1,50,4.8,241,70
85 → 85 → 78,Portsmouth,University Alliance,74,49.8,85,85,4.9,19.8,59,3.9,287,67
79 → 60 → 78,Teesside,University Alliance,79,49.8,84,82,5.4,19.5,53,4.7,288,74
53 → 67 → 80,Nottingham Trent,University Alliance,71,49.5,78,79,4.9,19.5,56,4.3,301,62
49 → 50 → 81,Aberystwyth,University Alliance,177,49.0,89,89,4.4,19.1,47,3.9,305,70
76 → 68 → 81,Glamorgan,University Alliance,90,49.0,82,81,4.5,20.5,49,6.0,286,68
71 → 65 → 83,Sheffield Hallam,University Alliance,75,48.7,80,79,3.9,19.6,54,7.2,302,64
100 → 109 → 84,Salford,Million + ,27,48.5,82,79,4.0,16.2,53,4.7,283,64
73 → 93 → 85,De Montfort,University Alliance,68,48.4,83,84,3.5,18.1,52,4.3,284,70
94 → 63 → 86,Northampton,University Alliance,158,48.2,84,80,5.2,20.6,47,6.9,239,70
96 → 69 → 87,Winchester,Guild HE,21,48.0,86,81,2.7,18.5,47,5.8,285,67
102 → 99 → 88,Greenwich,Million+,59,47.8,86,84,4.5,22.1,51,,252,72
93 → 94 → 88,Swansea,,180,47.8,82,82,4.2,16.4,61,4.9,342,61
79 → 88 → 88,Ulster,,185,47.8,80,82,4.1,16.5,45,6.3,282,62
74 → 86 → 91,Bradford,University Alliance,111,46.5,82,83,5.2,17.6,64,3.2,277,66
79 → 74 → 91,Glasgow Caledonian,University Alliance,106,46.5,82,82,3.5,20.9,51,6.6,332,61
105 → 87 → 93,Westminster,,83,46.2,75,74,4.2,18.4,53,6.4,290,61
112 → 75 → 94,Middlesex,Million+,67,46.1,80,79,7.5,21.9,48,5.5,219,69
98 → 92 → 95,Kingston,Million +,63,45.8,81,79,4.5,19.8,53,6.8,278,61
69 → 77 → 96,Staffordshire,Million+,77,45.1,83,80,6.0,21.6,55,4.0,246,68
86 → 82 → 97,"St Mary's UC, Twickenham",Guild HE,39,44.2,89,87,2.4,23.3,57,4.2,264,69
109 → 111 → 98,Liverpool John Moores,University Alliance,65,43.8,80,80,4.3,21.0,48,5.6,293,66
92 → 105 → 98,Worcester,Million + ,13,43.8,85,84,4.2,21.5,52,5.1,282,71
90 → 96 → 98,York St John,Guild HE,46,43.8,87,84,5.4,21.4,50,3.7,281,71
89 → 97 → 101,Newman University College,Guild HE,28,43.4,87,81,3.6,18.0,59,3.1,239,72
83 → 89 → 102,Cumbria,Guild HE,38,43.0,82,75,4.1,17.2,59,5.0,263,65
103 → 102 → 103,Bedfordshire,Million+,26,42.9,84,79,5.9,19.4,53,5.0,207,70
114 → 100 → 104,London South Bank,Million+,76,41.8,80,77,4.5,22.4,56,5.5,215,62
107 → 107 → 105,Canterbury Christ Church,,12,40.9,84,82,3.3,17.6,59,5.2,255,67
95 → 102 → 106,Glyndŵr,,87,40.4,85,79,3.3,21.0,61,4.5,211,74
na → 118 → 107,West of Scotland,Million+,105,39.6,83,82,3.6,22.2,56,3.7,272,65
104 → 108 → 108,Manchester Met,Million + ,66,39.4,78,75,3.0,19.1,52,4.8,291,63
106 → 97 → 109,Roehampton,Million+,31,39.1,83,79,2.8,20.8,57,4.2,258,65
